"data_size","cache_size","unique_size","reads","writes","avg_step","avg_reuse_dist","sum_sqrt_count","sum_count","lis","lds","belady","lru","pivot","ld","mru"
72439,3323,3894,52215,20224,5.01407e+13,1658.56,13331.8,72439,1496,549,68545,68341,66117,66468,66159
32730,902,1604,21115,11615,2.9295e+13,519.858,4842.01,32730,488,286,31126,30898,28878,27114,17031
67177,3683,3768,45486,21691,3.08329e+13,816.967,11202.2,67177,1138,285,63409,63409,63409,63409,62978
78080,801,3991,51632,26448,3.76837e+13,1051.3,11048.6,78080,1012,432,73262,72240,56689,9853,8766
34340,936,1813,24753,9587,2.99605e+13,633.136,5977.13,34340,627,225,32436,31587,28013,29504,21330
57549,404,2180,36996,20553,2.94268e+13,580.52,7153.24,57549,566,355,53896,49788,46176,44632,19760
78591,3959,3987,52709,25882,3.17946e+13,975.634,12640.9,78591,1232,307,74604,74604,74604,74604,74435
20983,159,1529,13136,7847,3.04113e+13,382.843,3888.99,20983,321,241,18156,16618,14003,9252,1826
44683,1063,2656,31881,12802,3.1515e+13,836.859,8347.03,44683,925,236,41857,40168,38155,39083,26005
55723,1937,3453,39779,15944,4.19451e+13,1137.16,11093.4,55723,1177,347,52270,50863,46946,45295,37682
93003,1849,4045,61104,31899,2.97463e+13,757.657,13033.8,93003,1254,406,88958,88563,84890,83779,53199
31505,9457,13744,25576,5929,2.63354e+13,2829.16,18757.5,31505,3127,13,17761,16001,16866,17081,10425
48446,1823,2091,29828,18618,3.10489e+13,516.764,6220.29,48446,429,329,46355,46272,45285,45672,44145
18813,450,930,10994,7819,3.22848e+13,272.301,2297.62,18813,279,141,17883,17706,15146,14481,13349
34145,1963,2917,24306,9839,4.99132e+13,1390.14,8341.67,34145,1139,312,31144,29313,25795,26954,24040
7469,54,710,4759,2710,2.86975e+13,304.501,1731.59,7469,264,143,5180,3466,3963,3086,969
69260,2481,2544,44579,24681,2.95508e+13,605.217,8266.47,69260,594,399,66716,66716,66697,66716,66562
99281,1239,4829,66092,33189,3.23374e+13,1214.75,15589.1,99281,1409,453,93550,91406,70941,63702,31015
