"data_size","cache_size","unique_size","reads","writes","avg_step","avg_reuse_dist","sum_sqrt_count","sum_count","lis","lds","belady","lru","pivot","ld","mru"
52629,27337,27590,31418,21211,6.14903e+12,55.3319,29948.8,52629,13429,72,25039,25039,24755,24452,24449
19940,4750,6274,12649,7291,8.88323e+12,58.4139,7730.79,19940,3039,72,13666,13666,11918,11852,10004
69165,7361,16061,44848,24317,9.9239e+12,60.1366,20453.4,69165,7823,72,53104,53104,41338,39393,24862
3261,218,1540,1977,1284,7.05089e+12,47.1582,1852.52,3261,745,64,1721,1673,982,65,0
29835,1200,6977,19339,10496,9.91419e+12,60.02,9165.28,29835,3395,72,22858,22858,10080,4726,4348
4603,1007,1626,2897,1706,8.5717e+12,57.1514,2086.93,4603,788,67,2977,2977,2907,2787,2901
43378,11431,13848,27471,15907,8.79527e+12,58.2106,16545.3,43378,6724,72,29530,29530,26636,26576,23268
58868,4302,17398,37530,21338,9.10416e+12,59.1127,20964.4,58868,8475,72,41470,41470,25424,15393,11815
28504,1329,1367,22602,5902,5.8199e+13,11.9925,1917.2,28504,1188,14,27137,27137,26900,26750,27030
8380,2717,3693,5137,3243,7.31695e+12,56.2043,4336.95,8380,1790,72,4687,4687,4147,3587,3663
49085,9039,11422,31826,17259,9.92382e+12,60.0983,14714,49085,5564,72,37663,37663,34245,34169,30213
58061,4613,18808,36721,21340,8.74173e+12,58.6532,22214,58061,9160,72,39253,39253,24882,14266,11930
42192,12391,17625,25976,16216,7.53536e+12,57.0671,19944.9,42192,8582,72,24567,24567,21255,17396,17467
4648,85,1121,3020,1628,9.8946e+12,58.9557,1646.42,4648,539,71,3527,3083,1001,1111,284
33279,5776,15750,20178,13101,6.8071e+12,56.2131,17521,33279,7667,72,17529,17529,12268,6108,6076
91805,8786,21290,59540,32265,9.92549e+12,60.1479,26881.9,91805,10372,72,70515,70515,52266,37334,29835
67675,7357,15738,43888,23787,9.91593e+12,60.1113,20045.8,67675,7659,72,51937,51937,40990,39030,24781
93734,4649,5824,74609,19125,5.73492e+13,12.0015,6830.87,93734,3454,20,87910,87910,79179,72316,82163
88392,4456,27093,56166,32226,8.95524e+12,58.9539,32053.1,88392,13195,72,61299,61251,40111,15047,14042
12483,2110,2963,8086,4397,9.90346e+12,59.742,4063.68,12483,1438,72,9520,9520,8585,7388,7186
18592,2452,4361,12063,6529,9.8941e+12,59.8918,5864.58,18592,2119,72,14231,14231,11411,11360,8101
7048,1604,1718,4559,2489,9.90734e+12,59.3624,2429.59,7048,833,72,5330,5330,5175,5074,5145
